【整租】A+麒寓 管庄 A+麒寓管庄店,管庄,2560-4000,http://bj.58.com/pinpaigongyu/33344294461364x.shtml?psid=159757274199509339902485667
【整租】新华大街 潞河中学北街小区 1室1厅,潞河中学北街小区,2180,http://bj.58.com/pinpaigongyu/33318880908743x.shtml?psid=159757274199509339902485667
【整租】福泰院子 上地 上地福泰院子,上地,3000-3600,http://bj.58.com/pinpaigongyu/33255743706316x.shtml?psid=159757274199509339902485667
【整租】新华大街 西上园 1室1厅,西上园,2180,http://bj.58.com/pinpaigongyu/33219001433167x.shtml?psid=159757274199509339902485667
【整租】垡头 乐乎城市青年社区 1室1厅,【整租】垡头,2650,http://bj.58.com/pinpaigongyu/33257333911221x.shtml?psid=159757274199509339902485667
【整租】A+麒寓 双桥 A+麒寓双桥店,双桥,2560-4000,http://bj.58.com/pinpaigongyu/33487974279361x.shtml?psid=159757274199509339902485667
【合租】孙河 康营家园15期 3室主卧,康营家园15期,2480,http://bj.58.com/pinpaigongyu/32964431097390x.shtml?psid=159757274199509339902485667
【整租】双桥 乐乎城市青年社区 1室1厅,【整租】双桥,2550,http://bj.58.com/pinpaigongyu/32423213215422x.shtml?psid=159757274199509339902485667
【整租】百子湾 乐乎城市青年社区 1室1厅,【整租】百子湾,2850,http://bj.58.com/pinpaigongyu/33186583528650x.shtml?psid=159757274199509339902485667
【整租】百子湾 乐乎城市青年社区 1室1厅,【整租】百子湾,2999,http://bj.58.com/pinpaigongyu/32423823239376x.shtml?psid=159757274199509339902485667
【合租】安贞 安贞里(三区) 3室次卧,安贞里(三区),2660,http://bj.58.com/pinpaigongyu/31530931423534x.shtml?psid=159757274199509339902485667
【整租】乐乎社区 垡头 乐乎京哈,垡头,2500-2800,http://bj.58.com/pinpaigongyu/33521205899830x.shtml?psid=159757274199509339902485667
【合租】朝青板块 金隅汇星苑 3室主卧,金隅汇星苑,2730,http://bj.58.com/pinpaigongyu/33511836647746x.shtml?psid=159757274199509339902485667
【合租】欢乐谷 世纪东方嘉园(北 3室主卧,世纪东方嘉园(北,2870,http://bj.58.com/pinpaigongyu/32956651432135x.shtml?psid=159757274199509339902485667
【合租】北苑 茉藜园 3室次卧,茉藜园,2500,http://bj.58.com/pinpaigongyu/32292646086982x.shtml?psid=159757274199509339902485667
【整租】魔方公寓 梨园 通州梨园店,梨园,3000-3209,http://bj.58.com/pinpaigongyu/32954321396048x.shtml?psid=159757274199509339902485667
【合租】果园 达富苑小区 4室主卧,达富苑小区,2350,http://bj.58.com/pinpaigongyu/33551104601410x.shtml?psid=159757274199509339902485667
